# Authentication Failure Logs - Sample Data
# Format: timestamp level message user ip
# Generated by: Custom authentication service
# Lab environment: Isolated test network

2026-01-14 15:24:24.808515 INFO User login failed for user admin from 192.168.1.10
2026-01-14 15:24:26.810334 INFO User login failed for user admin from 192.168.1.10
2026-01-14 15:24:28.912045 INFO User login failed for user admin from 192.168.1.10
2026-01-14 15:24:31.115672 INFO User login failed for user admin from 192.168.1.10
2026-01-14 15:24:33.418329 INFO User login failed for user admin from 192.168.1.10
2026-01-14 15:24:35.620987 INFO User login failed for user admin from 192.168.1.10
2026-01-14 15:24:38.723691 INFO User login failed for user admin from 192.168.1.10

2026-01-14 15:30:12.345678 INFO User login failed for user jdoe from 192.168.1.15
2026-01-14 15:30:14.447912 INFO User login failed for user jdoe from 192.168.1.15
2026-01-14 15:30:16.550123 INFO User login failed for user jdoe from 192.168.1.15

2026-01-14 16:45:22.123456 WARNING Multiple failed attempts for user admin from 192.168.1.10 - possible brute force
2026-01-14 16:45:25.234567 INFO User login successful for user admin from 192.168.1.10
